id,id_clustering,name,description,n_documents,reduced_to_id_cluster,reduced_to_id_clustering
188,2,,"továrna, kladivo, dělník, rýč, šachta, železo, havíř, horník, stroj, kopat",2039,NULL,NULL
189,2,,"poslanec, politika, volič, parlament, mandát, schůze, politický, vídeň, ministr, ministerstvo",2006,NULL,NULL
190,2,,"císař, římský, francie, řím, papež, voják, paříž, adjutant, císařský, bourbon",1993,NULL,NULL
191,2,,"loď, plavec, člun, plachta, přístav, koráb, příď, plout, vlna, stožár",1979,NULL,NULL
192,2,,"mech, bříza, vřes, buk, olše, motýl, mlází, drozd, kapradí, sítí",1933,NULL,NULL
193,2,,"slovan, slovanský, maďar, čech, slavský, polák, moravan, slávie, tatry, polský",1915,NULL,NULL
194,2,,"jmeniny, vděčnost, toba, novoroční, blaženost, nábožnost, šlechetný, vděčný, požehnání, péče",1843,NULL,NULL
195,2,,"klas, klasa, stodola, žito, lán, zrno, koukol, chrpa, obilí, pole",1832,NULL,NULL
196,2,,"růže, poupě, růž, květ, kvést, uvadnout, odkvést, kvítek, fialka, jaro",1827,NULL,NULL
197,2,,"prospět, ctnost, rozum, bližní, živobytí, vada, zasluhovat, rozmnožit, prospěch, sprostý",1816,NULL,NULL
198,2,,"závěj, sníh, zimní, vánoční, zasněžený, zima, mráz, sněhový, jíní, vločka",1741,NULL,NULL
2001,3,,"viditelný, mystický, tajemný, tajemství, vegetace, tisíciletí, mlčení, magický, závrať, agonie",1658,2202,2
2002,3,,"jmeniny, přání, vděčnost, blažit, vděčný, požehnání, toba, hojnost, přát, vroucí",1416,2212,2
2003,3,,"národ, volnost, prapor, vítězství, český, vlast, svoboda, dějiny, heslo, bojovník",1359,2204,2
2004,3,,"podzim, jeseň, podzimní, vzpomínka, listí, teskný, smutek, zašlý, zapadlý, chlad",1353,2208,2
2005,3,,"loď, plachta, plavec, stožár, člun, přístav, koráb, paluba, plout, vrak",1318,2210,2
2006,3,,"politika, poslanec, parlament, ministr, politik, politický, vídeň, schůze, mandát, republika",1260,2205,2
2007,3,,"zářný, perla, opál, drahokam, duha, hvězdný, rubín, třpyt, rosný, hvězda",1128,2203,2
2008,3,,"ptačí, drozd, kyprý, luh, hnízdo, pyl, vřes, sněť, horský, přizdobit",1108,2219,2
2009,3,,"vzpomínka, odříkání, touha, mládí, sen, beznaděj, zapomnění, smutek, vzpomínat, teskný",1100,2209,2
2010,3,,"podzimní, vzduch, obzor, mlha, topol, žlutý, alej, ticho, pěšina, mha",1069,2214,2
2011,3,,"hmota, bytí, vývoj, poznání, vesmír, kosmos, věčno, podstata, bytost, záhada",1066,2206,2
2012,3,,"klas, klasa, lán, žeň, pluh, brázda, obilí, zrno, stodola, žnec",1027,2227,2
2013,3,,"chyba, těžkost, nepravost, kryst, moudrý, bližní, užívat, činit, ctnost, příklad",1011,2201,2
2014,3,,"růžička, kvítek, květinka, srdéčko, kvítko, kvítí, věneček, poupátko, růže, kytička",914,2226,2
2015,3,,"ježíš, kristus, kristův, golgota, kříž, spasitel, ježíšův, hostie, hřeb, páně",877,2221,2
2016,3,,"háj, slavíček, kvítko, kvítek, potůček, slavík, vlnka, pomněnka, větřík, ptáček",876,2217,2
2017,3,,"kritik, napsat, autor, psát, čtenář, verš, honorář, přečíst, literát, nakladatel",826,2207,2
2018,3,,"blahý, slast, milostný, vroucí, kvítko, vnada, blažený, libý, blaho, blažit",821,2211,2
2019,3,,"poupě, růž, růže, květ, vesna, polibek, jaro, zkvést, pel, zulíbat",806,2216,2
2020,3,,"seč, voj, bitva, chrabrý, meč, pluk, nepřítel, nepřátelský, vrah, zbraň",729,2220,2
2021,3,,"motýl, mech, buk, vřes, haluz, hloh, lesní, bříza, jahoda, olše",728,2223,2
2022,3,,"jho, potupný, výheň, hřeb, děsný, okov, blasfemie, svíjet, děs, železný",720,2222,2
2023,3,,"pivo, víno, mok, pít, sklenka, sklenice, pohár, sud, číše, vypít",715,2230,2
2024,3,,"leknín, vodní, hladina, tůně, rákosí, tůň, vodník, rusalka, sítí, rákos",710,2210,2
2025,3,,"tklivý, tón, teskný, zvuk, píseň, žalný, struna, vzdech, lkát, lkání",697,2218,2
2026,3,,"jaro, vzpomínka, mládí, květ, vesna, kvést, zkvétat, jarní, rozkvést, jeseň",681,2208,2
2027,3,,"dělat, chudák, koukat, nos, kapsa, huba, počkat, krk, vyndat, čert",676,2225,2
2028,3,,"závěj, sníh, sněhový, zimní, mráz, jíní, zima, saně, vločka, umrzlý",651,2229,2
2029,3,,"nevěrec, katolík, věrec, nevěra, bližní, národovec, blud, církev, kazit, odrodilec",644,2201,2
2030,3,,"čert, kapsa, huba, dělat, kousek, páter, koláč, omáčka, sedlák, vyndat",607,2213,2
2031,3,,"dalekost, zpěvec, jinoch, toužebnost, harfa, háj, provívat, zavívat, lůno, oudolí",566,2217,2
2032,3,,"petřín, ulice, nábřeží, hradčany, chodník, dlažba, svítilna, ulička, chodec, okno",552,2228,2
2033,3,,"valčík, sál, karneval, tančit, polka, parketa, tanec, čtverylka, bál, piano",550,2218,2
2034,3,,"žíznit, vyznít, trýznit, odříkání, poznání, marný, maska, cítění, soucit, unikat",541,2206,2
2035,3,,"francie, veličenstvo, napoleon, tuilerie, císař, revoluce, bourbon, paříž, rus, robespierre",538,2205,2
2036,3,,"zvon, varhany, zvuk, znít, hlahol, ston, zvonice, tón, žalm, chorál",532,2218,2
2037,3,,"christus, bláha, nebeský, páně, nebešťan, zemský, blahý, schrána, obor, an",529,2211,2
2038,3,,"jeviště, herec, publikum, opona, obecenstvo, komedie, divadlo, autor, divadelní, potlesk",510,2207,2
2039,3,,"poupě, růž, růže, květ, vypučet, vonný, zkvést, kytka, perla, fialka",489,2216,2
2040,3,,"dosoudit, jež, vzpor, edvard, vyšínský, slast, marinos, výslovný, marina, slastný",489,2211,2
2041,3,,"kryst, těžkost, nábožnost, ctnost, nepravost, žádost, tejrat, ctnostný, pomahat, zpravovat",487,2201,2
2042,3,,"hajat, spinkat, hajinkat, peřinka, andělíček, děťátko, andílek, postýlka, maminka, synáček",486,2215,2
2043,3,,"hanička, jeníček, hubička, růžička, hanna, panenka, srdéčko, srdíčko, děvčátko, janíček",476,2215,2
2044,3,,"hrobník, motyka, rakev, kopat, hrobař, hřbitov, rýč, rov, hlína, jáma",464,2222,2
2045,3,,"vlak, nádraží, kolejnice, kupé, stanice, kolej, rychlík, vagón, tunel, hvizd",461,2228,2
2046,3,,"jelen, lovec, paroh, laň, srna, pytlák, srnec, myslivec, lovčí, zvěř",455,2219,2
2047,3,,"střet, léno, um, onyx, sol, pól, mim, ká, nard, směnit",454,2206,2
